"1" "minimPerim1" "maximPerim1" "deviatiePerim1" "mediePerim1" "minimArie1" "maximArie1" "deviatieArie1" "medieArie1" "minimPerim2" "maximPerim2" "deviatiePerim2" "mediePerim2" "minimArie2" "maximArie2" "deviatieArie2" "medieArie2" "tip"
"91" "2.000000" "7986.375332" "170.444840" "23.188928" "2.000000" "424563.500000" "8847.602750" "216.656603" "2.000000" "7986.375332" "170.444840" "23.188928" "2.000000" "424563.500000" "8847.602750" "216.656603" "b"
"92" "5.656854" "8453.009889" "177.825338" "23.260975" "2.000000" "425601.000000" "8778.219725" "213.830638" "9.071068" "8453.009889" "177.825338" "23.260975" "5.500000" "425601.000000" "8778.219725" "213.830638" "b"
"93" "5.656854" "8929.381595" "187.177724" "21.181111" "2.000000" "379489.000000" "7897.364701" "191.951278" "2.828427" "8929.381595" "187.177724" "21.181111" "2.000000" "379489.000000" "7897.364701" "191.951278" "b"
"94" "2.828427" "7391.522521" "161.571141" "21.048307" "0.000000" "386908.500000" "8078.954520" "201.716616" "2.828427" "7391.522521" "161.571141" "21.048307" "0.000000" "386908.500000" "8078.954520" "201.716616" "b"
"95" "2.000000" "5097.673554" "123.673962" "20.052168" "0.000000" "243101.000000" "5508.472563" "176.555171" "2.000000" "5097.673554" "123.673962" "20.052168" "0.000000" "243101.000000" "5508.472563" "176.555171" "b"
"96" "5.656854" "5258.567997" "115.246738" "20.596657" "2.000000" "302705.500000" "6238.049010" "179.829992" "5.656854" "5258.567997" "115.246738" "20.596657" "2.000000" "302705.500000" "6238.049010" "179.829992" "b"
"97" "5.656854" "3925.797233" "202.832248" "40.921280" "2.000000" "410317.000000" "19244.024093" "1043.885965" "5.656854" "3925.797233" "202.832248" "40.921280" "2.000000" "410317.000000" "19244.024093" "1043.885965" "b"
"98" "5.656854" "8016.475842" "161.956396" "22.874552" "2.000000" "412013.000000" "8167.381385" "193.786557" "5.656854" "8016.475842" "161.956396" "22.874552" "2.000000" "412013.000000" "8167.381385" "193.786557" "b"
"99" "2.000000" "9988.969472" "197.160831" "22.598315" "2.000000" "399540.000000" "7827.998180" "180.676651" "5.656854" "9988.969472" "197.160831" "22.598315" "2.000000" "399540.000000" "7827.998180" "180.676651" "b"
"100" "5.656854" "5184.654220" "110.317954" "21.369747" "2.000000" "453215.000000" "8577.507388" "199.012701" "5.656854" "5184.654220" "110.317954" "21.369747" "2.000000" "453215.000000" "8577.507388" "199.012701" "b"
"101" "5.656854" "8751.391699" "174.522447" "22.888238" "2.000000" "420748.000000" "8228.353187" "192.586075" "2.828427" "8751.391699" "174.522447" "22.888238" "0.500000" "420748.000000" "8228.353187" "192.586075" "b"
"102" "3.414214" "8550.739898" "171.879497" "24.274914" "2.000000" "430196.000000" "8402.217987" "200.572873" "4.000000" "8550.739898" "171.879497" "24.274914" "1.000000" "430196.000000" "8402.217987" "200.572873" "b"
"103" "2.000000" "8702.639395" "186.158879" "23.603829" "2.000000" "414876.500000" "8689.359249" "214.636463" "5.656854" "8702.639395" "186.158879" "23.603829" "2.000000" "414876.500000" "8689.359249" "214.636463" "b"
"104" "5.656854" "7860.777355" "163.999519" "29.942188" "2.000000" "422451.500000" "8513.591761" "222.124695" "5.656854" "7860.777355" "163.999519" "29.942188" "2.000000" "422451.500000" "8513.591761" "222.124695" "b"
"105" "5.656854" "7452.669708" "148.462518" "23.011423" "1.500000" "430687.500000" "8268.026981" "192.946001" "5.656854" "7452.669708" "148.462518" "23.011423" "2.000000" "430687.500000" "8268.026981" "192.946001" "b"
"106" "5.656854" "5788.582274" "117.544171" "20.154967" "2.000000" "399144.500000" "7673.151578" "181.861624" "2.000000" "5788.582274" "117.544171" "20.154967" "2.000000" "399144.500000" "7673.151578" "181.861624" "b"
"107" "5.656854" "4939.205515" "104.641532" "20.089531" "1.000000" "377655.500000" "7245.493562" "183.581504" "5.656854" "4939.205515" "104.641532" "20.089531" "2.000000" "377655.500000" "7245.493562" "183.581504" "b"
"108" "5.656854" "3526.236711" "159.737562" "35.591751" "2.000000" "453215.500000" "20009.393434" "957.222656" "5.656854" "3526.236711" "159.737562" "35.591751" "2.000000" "453215.500000" "20009.393434" "957.222656" "b"
"109" "0.000000" "8619.024169" "176.470774" "21.171385" "0.000000" "412042.000000" "8369.059858" "195.418283" "0.000000" "8619.024169" "176.470774" "21.171385" "0.000000" "412042.000000" "8369.059858" "195.418283" "b"
"110" "5.656854" "4309.198376" "111.961383" "21.209658" "2.000000" "223961.000000" "5247.834341" "187.609526" "5.656854" "4309.198376" "111.961383" "21.209658" "2.000000" "223961.000000" "5247.834341" "187.609526" "b"
"111" "5.414214" "6219.077661" "123.082487" "23.717960" "1.500000" "448925.500000" "8301.980717" "191.371326" "5.656854" "6219.077661" "123.082487" "23.717960" "2.000000" "448925.500000" "8301.980717" "191.371326" "b"
"112" "2.000000" "21986.463544" "551.487342" "48.984080" "2.000000" "364466.000000" "8246.998405" "279.716733" "2.000000" "21986.463544" "551.487342" "48.984080" "2.000000" "364466.000000" "8246.998405" "279.716733" "b"
"113" "2.000000" "24138.028246" "581.863782" "45.491037" "2.000000" "333796.500000" "7547.511506" "256.511576" "5.656854" "24138.028246" "581.863782" "45.491037" "2.000000" "333796.500000" "7547.511506" "256.511576" "b"
"114" "5.656854" "21964.328550" "492.204919" "39.337627" "2.000000" "205921.500000" "4528.461064" "171.354741" "5.656854" "21964.328550" "492.204919" "39.337627" "2.000000" "205921.500000" "4528.461064" "171.354741" "b"
"115" "2.000000" "8772.463979" "270.668059" "33.227146" "0.500000" "91661.000000" "2493.169235" "139.750770" "5.656854" "8772.463979" "270.668059" "33.227146" "2.000000" "91661.000000" "2493.169235" "139.750770" "b"
"116" "5.656854" "21427.554820" "537.134211" "49.869087" "2.000000" "338076.500000" "7729.120842" "271.658266" "5.656854" "21427.554820" "537.134211" "49.869087" "2.000000" "338076.500000" "7729.120842" "271.658266" "b"
"117" "4.000000" "25029.554276" "547.576390" "41.347484" "2.000000" "229137.000000" "4972.441268" "177.287751" "4.000000" "25029.554276" "547.576390" "41.347484" "1.000000" "229137.000000" "4972.441268" "177.287751" "b"
"118" "5.656854" "15946.414115" "367.187156" "35.949163" "2.000000" "144825.000000" "3413.892715" "163.897321" "5.414214" "15946.414115" "367.187156" "35.949163" "0.500000" "144825.000000" "3413.892715" "163.897321" "b"
"119" "5.656854" "5182.906966" "233.882853" "39.254229" "2.000000" "449485.500000" "20019.859518" "957.095427" "5.656854" "5182.906966" "233.882853" "39.254229" "2.000000" "449485.500000" "20019.859518" "957.095427" "b"
"120" "2.000000" "8798.748250" "263.244375" "33.020156" "0.500000" "91675.000000" "2361.421501" "135.519373" "5.656854" "8798.748250" "263.244375" "33.020156" "2.000000" "91675.000000" "2361.421501" "135.519373" "b"
"121" "2.000000" "8711.056903" "276.161303" "32.961302" "0.500000" "102126.000000" "2926.487364" "152.322365" "2.000000" "8711.056903" "276.161303" "32.961302" "0.500000" "102126.000000" "2926.487364" "152.322365" "b"
"122" "2.000000" "28322.520117" "611.827888" "42.264662" "2.000000" "317211.500000" "6807.283927" "202.290976" "3.414214" "28322.520117" "611.827888" "42.264662" "0.500000" "317211.500000" "6807.283927" "202.290976" "b"
"123" "2.000000" "17727.957393" "377.896658" "34.369700" "2.000000" "265087.000000" "5520.395490" "183.017007" "5.656854" "17727.957393" "377.896658" "34.369700" "2.000000" "265087.000000" "5520.395490" "183.017007" "b"
"124" "5.656854" "16555.648735" "343.906243" "30.926068" "2.000000" "211563.000000" "4377.054226" "160.728719" "5.656854" "16555.648735" "343.906243" "30.926068" "2.000000" "211563.000000" "4377.054226" "160.728719" "b"
